ID_OKRSKY,TYP_FORM,OPRAVA,CHYBA,OKRES,OBEC,OKRSEK,KC_1,KC_2,ZAKRSTRANA,VOL_SEZNAM,VYD_OBALKY,DOR_OBALKY,DOR_ODLOZ,ODEVZ_OBAL,PL_HL_CELK
1,1,0,0,7204,500011,1,6,2231,"001101010111011110010110110000000000000000000000000000000000",713,508,0,0,508,502
2,1,0,0,7204,500011,2,0,1321,"000001110010001100010110100000000000000000000000000000000000",414,303,0,0,303,301
3,1,0,0,7204,500011,3,1,1297,"010101110110000100010110110000000000000000000000000000000000",405,298,0,0,298,296
4,1,0,0,7105,500020,1,2,769,"000001011110001100010110100000000000000000000000000000000000",272,167,0,0,167,163
5,1,0,0,7105,500020,2,3,2288,"010011010110000110010110100000000000000000000000000000000000",739,517,0,0,517,515
6,1,0,0,8104,500046,1,6,4474,"001011111111001110010110100000000000000000000000000000000000",1402,1030,0,0,1030,1012
7,1,0,0,1100,500054,1001,3,2576,"000011001111001100010110110000000000000000000000000000000000",751,613,0,0,611,601
8,1,0,0,1100,500054,1002,4,3032,"000001011111000110111110100000000000000000000000000000000000",975,690,0,0,690,677
9,1,0,0,1100,500054,1003,5,2372,"000101010011001100110111100000000000000000000000000000000000",726,555,0,0,555,536
10,1,0,0,1100,500054,1004,6,2511,"000001010011000110011111100000000000000000000000000000000000",782,579,0,0,577,573
11,1,0,0,1100,500054,1005,0,2090,"000001110111001110010111110000000000000000000000000000000000",650,484,0,0,484,472
12,1,0,0,1100,500054,1006,1,4746,"100001011110011110111111110000000000000000000000000000000000",1454,1108,0,0,1107,1077
13,1,0,0,1100,500054,1007,2,2782,"000001111111001110110110110000000000000000000000000000000000",920,625,0,0,625,612
14,1,0,0,1100,500054,1008,3,2718,"001001011011101110110111110000000000000000000000000000000000",877,617,0,0,617,607
15,1,0,0,1100,500054,1009,4,2691,"000001011011001110111110110000000000000000000000000000000000",897,598,0,0,598,598
16,1,0,0,1100,500054,1010,5,1822,"000011010011000110011111110000000000000000000000000000000000",578,417,0,0,417,410
17,1,0,0,1100,500054,1011,6,4952,"101101111011011101011110110000000000000000000000000000000000",1926,1022,0,0,1022,982
18,1,0,0,1100,500054,1012,0,2176,"000011111011100110010110100000000000000000000000000000000000",741,485,0,0,485,465
19,1,0,0,1100,500054,1013,1,1557,"000001011011000100110110100000000000000000000000000000000000",507,352,0,0,352,346
20,1,0,0,1100,500054,1014,2,3953,"100001010011001101011110110000000000000000000000000000000000",1263,907,0,0,906,877
21,1,0,0,1100,500054,1015,3,4254,"101001011111000110111110100000000000000000000000000000000000",1409,955,0,0,955,935
22,1,0,0,1100,500054,1016,4,2908,"100011001011011111110111110000000000000000000000000000000000",932,662,0,0,660,654
23,1,0,0,1100,500054,1017,5,2833,"100001101010001110110111100000000000000000000000000000000000",945,636,0,0,633,619
24,1,0,0,1100,500054,1018,6,3121,"100011011111101110111111110000000000000000000000000000000000",1133,665,0,0,665,658
25,1,0,0,1100,500054,1019,0,3685,"000001111011000110111110100000000000000000000000000000000000",1298,799,0,0,799,789
26,1,0,0,1100,500054,1020,1,3792,"100001011111001110011111110000000000000000000000000000000000",1826,662,0,0,662,642
27,1,0,0,1100,500054,1021,2,3608,"100001110011100111111111110000000000000000000000000000000000",1165,817,0,0,816,810
28,1,0,0,7203,500062,1,2,5464,"000111011111001101010110110000000000000000000000000000000000",1717,1256,0,0,1256,1235
29,1,0,0,7203,500071,1,5,4506,"010001110111010110010110100000000000000000000000000000000000",1425,1032,0,0,1032,1017
30,1,0,0,1100,500089,2001,2,2310,"000101111010001100011111110000000000000000000000000000000000",751,523,0,0,519,517
31,1,0,0,1100,500089,2002,3,1940,"000111111011001100111111110000000000000000000000000000000000",683,419,0,0,419,419
32,1,0,0,1100,500089,2003,4,2249,"000001011110000110011110100000000000000000000000000000000000",736,508,0,0,508,497
33,1,0,0,1100,500089,2004,5,2266,"000001010011001111011110110000000000000000000000000000000000",704,522,0,0,521,519
34,1,0,0,1100,500089,2005,6,2394,"000101011110011100010110110000000000000000000000000000000000",739,553,0,0,553,549
